Index,"Major area, region, country or area",Note,Country Code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050
218,Costa Rica,,188,0.22,0.22,0.88,1.63,1.26,0.83,1.06,1.91,1.74,1.58,2.13,1.77,1.37,0.96,0.67,0.45,0.28,0.17,0.16,0.15
219,El Salvador,,222,0.49,0.49,0.29,0.25,1.04,1.19,1.14,1.08,1.84,1.75,0.91,0.84,0.75,0.66,0.57,0.49,0.42,0.39,0.37,0.35
220,Guatemala,,320,2.21,2.12,1.76,0.90,0.65,0.37,0.92,0.98,0.95,0.91,0.89,0.89,0.89,0.88,0.85,0.81,0.76,0.72,0.68,0.64
221,Honduras,,340,2.62,2.54,2.44,2.35,2.11,1.65,1.58,1.39,1.19,1.14,1.30,1.27,1.14,1.01,0.89,0.77,0.65,0.61,0.57,0.54
222,Mexico,,484,1.80,1.67,1.58,1.44,1.23,1.11,0.77,0.70,0.54,0.37,0.42,0.39,0.36,0.33,0.30,0.26,0.23,0.21,0.20,0.19
223,Nicaragua,,558,1.19,1.15,1.52,1.93,0.71,0.49,0.47,0.46,0.45,0.44,0.43,0.47,0.53,0.57,0.61,0.62,0.61,0.57,0.54,0.51
224,Panama,,591,1.46,1.40,1.49,1.39,0.58,0.57,0.66,0.66,1.51,1.35,0.47,0.45,0.45,0.46,0.46,0.45,0.44,0.41,0.39,0.37
225,South America,,931,1.94,1.81,1.57,1.37,1.25,1.15,1.01,0.87,0.73,0.66,0.36,0.31,0.28,0.24,0.22,0.19,0.17,0.15,0.15,0.14
226,Argentina,,32,1.27,1.11,0.74,0.65,0.52,0.47,0.51,0.45,0.27,0.22,0.21,0.19,0.17,0.14,0.12,0.10,0.08,0.07,0.06,0.06
227,Bolivia (Plurinational State of),,68,0.83,0.82,0.80,0.78,0.76,1.91,2.11,1.91,1.33,0.80,0.75,0.68,0.62,0.55,0.49,0.43,0.40,0.38,0.36,0.33
228,Brazil,,76,2.54,2.33,2.02,1.82,1.67,1.48,1.30,1.13,0.97,0.90,0.40,0.36,0.32,0.27,0.22,0.19,0.15,0.13,0.12,0.11
229,Chile,,152,1.59,1.40,1.11,0.96,0.82,0.72,0.34,0.16,0.30,0.36,0.32,0.26,0.21,0.17,0.14,0.11,0.10,0.09,0.09,0.08
230,Colombia,,170,3.36,3.04,2.50,1.44,1.31,1.19,1.08,0.81,0.65,0.44,0.41,0.39,0.37,0.35,0.32,0.30,0.27,0.26,0.24,0.23
231,Ecuador,,218,1.84,1.77,1.57,1.39,1.51,2.06,1.73,1.46,0.95,0.86,0.46,0.31,0.33,0.39,0.43,0.46,0.48,0.48,0.45,0.43
232,Falkland Islands (Malvinas),,238,-0.11,-0.11,0.53,0.83,0.83,0.82,1.73,2.94,-2.33,0.48,0.93,0.79,0.69,0.55,0.44,0.34,0.26,0.20,0.18,0.17
233,French Guiana,,254,1.75,1.56,0.75,0.51,0.49,0.47,0.53,0.54,0.61,0.55,0.50,0.43,0.35,0.28,0.22,0.17,0.14,0.13,0.12,0.12
